Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
,4th year,Very good,97,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,10
,4th year,Bad,25,Male,23,Hall,Single,No,3,Bad,Yes,No,Yes,Family,Yes,Yes,No,Yes,No,4
,4th year,Normal,64,Male,23,Home,Single,Yes,4,Good,No,No,No,Friends,Yes,No,Yes,Yes,Yes,6
,4th year,Normal,62,Male,23,Home,Single,Yes,3,Normal,Yes,Yes,No,Family,Yes,No,Yes,No,Yes,6
,4th year,Bad,37,Male,23,Department,Single,Yes,3,Bad,Yes,No,No,Friends,Yes,No,Yes,No,Yes,5
,4th year,Very bad,2,Male,23,Hall,Single,Yes,2,Bad,Yes,No,No,Family,Yes,Yes,Yes,Yes,Yes,5
,4th year,Normal,56,Male,23,Department,Single,No,3,Normal,Yes,No,No,Family,Yes,No,Yes,Yes,No,8
,4th year,Bad,32,Male,23,Department,Single,Yes,1,Normal,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,6
,4th year,Good,83,Male,23,Hall,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
,4th year,Normal,68,Male,23,Home,Single,Yes,4,Good,No,No,Yes,Friends,Yes,Maybe,Yes,Yes,No,7
,4th year,Good,75,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,7
,4th year,Good,81,Male,23,Hall,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,8
,4th year,Bad,46,Male,23,Playground,Single,Yes,2,Good,Yes,No,No,Family,Yes,No,Neutral,No,Yes,5
,4th year,Very good,94,Male,23,Home,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,7
,4th year,Good,78,Male,23,Home,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,9
,4th year,Normal,62,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,Maybe,Neutral,Yes,No,7
,4th year,Normal,61,Male,23,Playground,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,6
